"AccountId","AccountName","Contract","ContractName","Status","Start","End","MRR","Source","MonthlyRows","Invoices","Periods","判定","判定根拠","統合先契約","請求影響","優先度","レビュー順","確認ステップ"
"001RB00001VTqlOYAT","株式会社ムゲンエステート","CN-00000012","ムゲンエステート","Activated","2024-10-01","","8000","","41","6","3","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","1","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrmnYAD","戸田建設株式会社","CN-00000026","戸田建設(設計部:月額)","Activated","2025-02-01","","55000","","29","7","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","2","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTCYwYAP","インフィニティ株式会社","CN-00000220","インフィニティ株式会社 Rendery Proプラン Freee自動請求契約","Activated","2026-03-01","","8000","FreeeImport","4","3","4","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","3","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrOlYAL","九州旅客鉄道 株式会社","CN-00000023","九州旅客鉄道株式会社　工事部施設課","Activated","2024-12-01","","8000","","21","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","4","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrOlYAL","九州旅客鉄道 株式会社","CN-00000044","九州旅客鉄道株式会社　博多設備区","Activated","2025-05-01","","8000","","16","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","5","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrOlYAL","九州旅客鉄道 株式会社","CN-00000049","九州旅客鉄道株式会社　開発工事部","Activated","2025-06-01","","8000","","15","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","6","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","CN-00000164","Mig_freee請求移行_アイリスチトセ株式会社","Draft","2026-05-01","2026-05-31","","","1","1","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","7","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","CN-00000222","アイリスチトセ株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","Activated","2026-03-01","","77000","FreeeImport","3","2","3","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","8","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTCZZYA5","株式会社乃村工藝社","CN-00000106","株式会社乃村工藝社  カルチャー・コミュニケーション推進本部","Activated","2026-05-01","","32000","","5","2","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","9","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqlfYAD","矢作建設工業株式会社","CN-00000035","矢作建設工業株式会社","Activated","2025-04-01","2026-07-30","55000","","17","8","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","10","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqlfYAD","矢作建設工業株式会社","CN-00000240","矢作建設_契約変更","Activated","2026-08-01","2027-07-31","","Sales","1","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","11","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTruAYAT","株式会社デザインアーク","CN-00000036","株式会社デザインアーク","Activated","2025-05-01","","165000","","21","17","4","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","12","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTruAYAT","株式会社デザインアーク","CN-00000108","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","Activated","2026-06-01","","30000","","4","1","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","13","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqleYAD","株式会社大塚商会","CN-00000063","大塚商会（大和財宅）","Activated","2025-09-01","2026-08-31","88000","","14","9","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","14","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000046","アイリスオーヤマ（ストアデザイン部）","Activated","2025-06-01","","44000","","15","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","15","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000047","アイリスオーヤマ（空間デザイン部）","Activated","2025-06-01","","11000","","15","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","16","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000246","アイリスオーヤマ株式会社 Rendery Proプラン Freee自動請求契約","Activated","2025-05-01","","","FreeeImport","1","2","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","17","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000247","アイリスオーヤマ株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","Activated","2025-06-01","","","FreeeImport","1","2","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","18","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","CN-00000103","株式会社ジョイフル本田（Pro１アカウント）","Activated","2026-06-01","","8000","","4","3","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","19","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","CN-00000219","株式会社ジョイフル本田 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","Activated","2026-03-01","","55000","FreeeImport","4","3","4","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","20","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrHVYA1","株式会社 JR東日本建築設計","CN-00000050","株式会社JR東日本建築設計","Activated","2025-07-01","","8000","","21","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","21","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000070","大東建託株式会社　商品開発部","Activated","2026-01-01","2026-12-31","24000","","13","1","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","22","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000235","大東建託株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","Activated","2025-09-01","","132000","FreeeImport","5","4","5","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","23","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqbXYAT","三井不動産レジデンシャルリース株式会社","CN-00000055","三井不動産レジデンシャルリース株式会社(ソリューション推進部)","Activated","2025-09-01","","132000","","12","6","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","24","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000059","株式会社コスモスイニシア　建築本部","Activated","2025-10-01","","98000","","18","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","25","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000060","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","Activated","2026-04-01","2027-03-31","70000","","12","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","26","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000061","株式会社コスモスイニシア　事業本部（流通事業）","Activated","2025-10-01","2027-03-31","42000","","18","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","27","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000062","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","Activated","2026-04-01","2027-03-31","30000","","12","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","28","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000176","Mig_freee請求移行_株式会社コスモスイニシア","Draft","2026-03-01","2026-05-31","","","4","4","3","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","29","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000249","株式会社コスモスイニシア 二次審査資料作成業務 単発契約","Activated","2026-08-01","2026-08-31","","FreeeImport","1","1","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","30","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","CN-00000072","株式会社石勝エクステリア","Activated","2025-10-01","2027-03-31","100000","","21","5","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","31","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","CN-00000079","株式会社石勝エクステリア(シングルサインオン分）","Activated","2025-10-01","2027-03-31","30000","","18","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","32","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","CN-00000181","Mig_freee請求移行_株式会社石勝エクステリア","Draft","2026-03-01","2026-03-31","","","1","1","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高","33","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrwFYAT","株式会社フジタ","CN-00000073","株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）","Activated","2026-02-01","2027-03-31","70000","","15","1","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","34","契約期間→月次明細→請求→見積→統合可否"
"001RB00001VTrwFYAT","株式会社フジタ","CN-00000100","株式会社フジタ　BIM推進部","Activated","2026-04-01","2027-03-31","42000","","12","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高","35","契約期間→月次明細→請求→見積→統合可否"
