"Id","Status","Description","UnitPrice","CurrentSuggested","Target"
"a0ERB00000Nryoo2AB","候補あり","[月額費用]セキュリティオプション+_運用費用","100000","Rendery セキュリティオプション(SSO)_初期費用","Rendery セキュリティオプション+_運用費用"
"a0ERB00000NrxeW2AR","候補あり","knock knock AI Basicプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxeT2AR","候補あり","knock knock AI Basicプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nrx9w2AB","候補あり","knock knock AI Basicプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxeX2AR","候補あり","knock knock AI Basicプラン","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxG22AJ","候補あり","knock knock AI_Basicプラン＿2025年12月ご利用分","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxG32AJ","候補あり","knock knock AI_Basicプラン＿2026年1月ご利用分","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxG42AJ","候補あり","knock knock AI_Basicプラン＿2026年2月ご利用分","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000NrxG52AJ","候補あり","knock knock AI_Basicプラン＿2026年3月ご利用分","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
"a0ERB00000Nryf92AB","候補あり","knock knock AI_Basicプラン(月額)","11000","[OLD] Rendery Enterpriseプラン(2025年9月まで)","knock knock AI Basicプラン(50クレジット)"
