"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ACV__c","Account__c","Contact__c","ContractUpdate__c","Description__c","Event__c","ExpectedCloseDate__c","ExpectedDuration__c","HearingStatus__c","LostDate__c","LostReason__c","MRR__c","NextActivityDate__c","NextStep__c","Pricebook2__c","ProposalStatus__c","SourceChannel__c","StageName__c","StandardCloseDate__c","StandardProbability__c","StandardStartDate__c","StartDate__c","ARR__c","ExpectedRevenue__c","IsClosed__c","IsWon__c","AccountCount__c","PlanCategory__c","ProductCategory__c","CsStage__c","ContractStartMonth__c"
"a08RB00001Z16Q6YAJ","005d5000005X5qEAAS","false","[サンプル] EmpowerMove","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","0.0","","","月","","","2025-02-26","12.0","","2025-02-26","","0.0","","","","","","Closed Lost","2025-02-26","","","","0.0","0.0","true","false","","","Rendery","",""
"a08RB00001Z16Q7YAJ","005d5000005X5qEAAS","false","Renderyエンプラ導入","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","660000.0","001RB00001VTqkLYAT","","月","","","","12.0","","2025-06-25","Budget shortage - running cost","55000.0","","","","","","Closed Lost","2025-06-25","","","","660000.0","0.0","true","false","5.0","Enterprise","Rendery","",""
"a08RB00001Z16Q8YAJ","005d5000005X5qEAAS","false","さくらホームグループ株式会社 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","288000.0","001RB00001VTCY7YAP","","月","","","","12.0","","","","24000.0","2025-09-05","","","","","Prospecting","","10.0","","","288000.0","28800.0","false","false","3.0","Pro","Rendery","",""
"a08RB00001Z16Q9YAJ","005d5000005X5qEAAS","false","株式会社フジタ","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-28T01:24:06.000Z","005d5000005X5qEAAS","2026-07-28T01:24:06.000Z","","","","900000.0","001RB00001VTrwFYAT","","月","","","","12.0","","","","75000.0","","","","","","Closed Won","2026-01-29","100.0","","","900000.0","900000.0","true","true","5.0","Enterprise","Rendery","S1",""
"a08RB00001Z16QAYAZ","005d5000005X5qEAAS","false","ハウジング・ジャパン株式会社 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","660000.0","001RB00001VTCY8YAP","","月","","","","12.0","","2025-06-02","Needs mismatch","55000.0","","","","","","Closed Lost","2025-06-02","","","","660000.0","0.0","true","false","5.0","Enterprise","Rendery","",""
"a08RB00001Z16QBYAZ","005d5000005X5qEAAS","false","株式会社リロケーション・ジャパン の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","435600.0","001RB00001VTCYAYA5","003RB00001NpNcsYAF","月","","","","12.0","","","","36300.0","","","","","","Negotiation","","80.0","","","435600.0","348480.0","false","false","3.0","Basic","knock knock AI","",""
"a08RB00001Z16QCYAZ","005d5000005X5qEAAS","false","チルホーム株式会社 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","105600.0","001RB00001VTCYBYA5","003RB00001NpNcuYAF","月","","","","12.0","","2025-09-04","Key person unreachable","8800.0","","","","","","Closed Lost","2025-09-04","","","","105600.0","0.0","true","false","1.0","Pro","Rendery","",""
"a08RB00001Z16QDYAZ","005d5000005X5qEAAS","false","髙松テクノサービス株式会社 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","192000.0","001RB00001VTCYCYA5","003RB00001NpNcvYAF","月","","","","12.0","","","","16000.0","","","","","","Closed Won","2025-05-06","100.0","","","192000.0","192000.0","true","true","2.0","Pro","Rendery","",""
"a08RB00001Z16QEYAZ","005d5000005X5qEAAS","false","有限会社汗青社 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","132000.0","001RB00001VTCYDYA5","003RB00001NpNcwYAF","月","","","","12.0","","","","11000.0","2025-11-21","","","","","Prospecting","","10.0","","","132000.0","13200.0","false","false","1.0","Basic","knock knock AI","",""
"a08RB00001Z16QFYAZ","005d5000005X5qEAAS","false","野村不動産 Rendery エンプラ導入の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-07T16:18:45.000Z","005d5000005X5qEAAS","2026-07-07T16:18:45.000Z","","2026-07-02T11:29:38.000Z","2026-07-02T11:29:38.000Z","2260000.0","001RB00001VTCYEYA5","003RB00001NsWvhYAF","月","","","2026-03-12","12.0","","","","2040000.0","2026-03-11","","","","","Closed Won","2026-03-11","100.0","","","2.448E7","2.448E7","true","true","","","","",""
"a08RB00001Z16QGYAZ","005d5000005X5qEAAS","false","サムティアセットマネジメント株式会社","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","145200.0","001RB00001VTqarYAD","","月","","","","12.0","","","","12100.0","","","","","","ValueProposition","","50.0","","","145200.0","72600.0","false","false","1.0","Basic","knock knock AI","",""
"a08RB00001Z16QHYAZ","005d5000005X5qEAAS","false","株式会社現代建築研究所 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","0.0","001RB00001VTqasYAD","003RB00001NsMQcYAN","月","","","","12.0","","2025-10-15","No agreement on issue or setup","0.0","","","","","","Closed Lost","2025-10-15","","","","0.0","0.0","true","false","","","Rendery","",""
"a08RB00001Z16QIYAZ","005d5000005X5qEAAS","false","ユニオンテック株式会社 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","316800.0","001RB00001VTCZSYA5","","月","","","","12.0","","","","26400.0","2025-12-17","","","","","Closed Lost","","","","","316800.0","0.0","true","false","3.0","Pro","Rendery","",""
"a08RB00001Z16QJYAZ","005d5000005X5qEAAS","false","西日本旅客鉄道株式会社　金沢支社　金沢建築区 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","66000.0","001RB00001VTqaZYAT","","月","","","","12.0","","","","5500.0","","","","","","Closed Won","2025-11-26","100.0","","","66000.0","66000.0","true","true","1.0","Basic","Rendery","",""
"a08RB00001Z16QLYAZ","005d5000005X5qEAAS","false","株式会社三福管理センター の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","726000.0","001RB00001VTqatYAD","003RB00001NsMQeYAN","月","","","","12.0","","","","60500.0","","","","","","Closed Won","2025-10-20","100.0","","","726000.0","726000.0","true","true","1.0","Pro","knock knock AI","",""
"a08RB00001Z16QMYAZ","005d5000005X5qEAAS","false","株式会社ケイミックス の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","105600.0","001RB00001VTqauYAD","","月","","","","12.0","","2025-08-28","Key person unreachable","8800.0","","","","","","Closed Lost","2025-08-28","","","","105600.0","0.0","true","false","1.0","Pro","Rendery","",""
"a08RB00001Z16QNYAZ","005d5000005X5qEAAS","false","株式会社オーナーズ・スタイル の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","0.0","001RB00001VTqj2YAD","003RB00001NsNIIYA3","月","","","","12.0","","2025-06-16","Out of scope","0.0","","","","","","Closed Lost","2025-06-16","","","","0.0","0.0","true","false","","","knock knock AI","",""
"a08RB00001Z16QOYAZ","005d5000005X5qEAAS","false","三井不動産レジデンシャルリース株式会社(ソリ推)の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-28T01:24:06.000Z","005d5000005X5qEAAS","2026-07-28T01:24:06.000Z","","","","1320000.0","001RB00001VTqbXYAT","003RB00001NsMpCYAV","月","","","","12.0","","","","110000.0","","","","","","Closed Won","2025-09-18","100.0","","","1320000.0","1320000.0","true","true","10.0","Enterprise","Rendery","S1",""
"a08RB00001Z16QPYAZ","005d5000005X5qEAAS","false","TC神鋼不動産株式会社 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","145200.0","001RB00001VTqfsYAD","003RB00001NsMpuYAF","月","","","","12.0","","","","12100.0","","","","","","Closed Won","2026-06-30","100.0","2025-07-01","","145200.0","145200.0","true","true","1.0","Basic","knock knock AI","",""
"a08RB00001Z16QQYAZ","005d5000005X5qEAAS","false","不動産業 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","0.0","001RB00001VTqkGYAT","003RB00001NsMpRYAV","月","","","","12.0","","2025-06-15","Needs mismatch","0.0","","","","","","Closed Lost","2025-06-15","","","","0.0","0.0","true","false","","","knock knock AI","",""
"a08RB00001Z16QRYAZ","005d5000005X5qEAAS","false","Nowhere Group株式会社 の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","005d5000005X5qEAAS","2026-07-19T04:40:23.000Z","","","","316800.0","001RB00001VTqlRYAT","","月","","","","12.0","","","","26400.0","","","","","","Closed Lost","","","","","316800.0","0.0","true","false","3.0","Pro","Rendery","",""
"a08RB00001Z16QSYAZ","005RB00000grTzlYAE","false","株式会社リペア の取引","2026-06-21T16:02:53.000Z","005d5000005X5qEAAS","2026-07-30T04:29:21.000Z","005RB00000grTzlYAE","2026-07-30T04:29:21.000Z","","","","0.0","001RB00001VTqklYAD","003RB00001NsNJKYA3","月","","","","12.0","","","","8800.0","","","","","","Closed Lost","","","","2025-06-01","105600.0","0.0","true","false","1.0","Pro","Rendery","","2025/06"
