"Severity","Category","Object","Count"
"Medium","商品不足","ContractLineItem__c","1405"
"High","請求月不一致","ContractLineItem__c","675"
"Medium","Freee情報不足","Invoice__c","234"
"High","MRR","ContractLineItem__c","219"
"High","契約必須情報","Contract__c","134"
"High","重複","ContractLineItem__c","124"
"High","契約期間必須情報","ContractPeriod__c","76"
"Medium","親子日付不一致","ContractPeriod__c","56"
"High","関連不足","Contract__c","44"
"High","月次不足","Contract__c","40"
"High","請求参照不一致","ContractLineItem__c","31"
"Medium","月末不一致","ContractLineItem__c","14"
"High","参照不足","ContractLineItem__c","14"
"High","MRR","Contract__c","8"
"Medium","参照不足","Invoice__c","5"
"High","期間重複","ContractPeriod__c","5"
"High","決済ステータス矛盾","Invoice__c","2"
"High","入金金額不一致","Invoice__c","2"
"High","明細不足","Invoice__c","1"
"High","参照不一致","Invoice__c","1"
"Medium","商品不足","InvoiceLine__c","1"
"High","参照不足","Invoice__c","1"
"High","参照不一致","ContractLineItem__c","1"
"High","取引先不一致","Invoice__c","1"
