Id,Name,Invoice__c,Invoice__r.ParentContract__c,Invoice__r.Account__c,ProductMaster__c,ProductMaster__r.Name,ProductMaster__r.MRR_Target__c,Description__c,Quantity__c,Line_Amount__c,Unit_Price__c
a01RB00001Uvs57YAB,INVL-0000000003,a00RB000023liu7YAA,,001RB00001UvdpFYAR,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,RenderyProプラン×３契約,3,24000,8000
a01RB00001VdyehYAB,INVL-0000000004,a00RB000024Ux4BYAS,a04RB00000kVL7WYAW,001RB00001VTrvXYAT,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,false,Rendery Enterpriseプラン_5アカウント_年間費用,5,840000,168000
a01RB00001VdyeiYAB,INVL-0000000005,a00RB000024Ux4BYAS,a04RB00000kVL7WYAW,001RB00001VTrvXYAT,a0CRB0000CcXZ6x2QG,受託開発,false,年払い割引,5,-60000,-12000
a01RB00001VdyejYAB,INVL-0000000006,a00RB000024Ux4CYAS,a04RB00000kUAOUYA4,001RB00001VTraTYAT,a0CRB0000CcXZ6x2QG,受託開発,false,Web保守・運用費,1,216000,216000
a01RB00001VdyekYAB,INVL-0000000007,a00RB000024Ux4DYAS,a04RB00000kUAOUYA4,001RB00001VTraTYAT,a0CRB0000CcXZ6x2QG,受託開発,false,保守・運用費,1,1200000,1200000
a01RB00001VdyelYAB,INVL-0000000008,a00RB000024Ux4DYAS,a04RB00000kUAOUYA4,001RB00001VTraTYAT,a0CRB0000CcXZ6x2QG,受託開発,false,運用サポート費,1,840000,840000
a01RB00001VdyemYAB,INVL-0000000009,a00RB000024Ux4DYAS,a04RB00000kUAOUYA4,001RB00001VTraTYAT,a0CRB0000CcXZ6x2QG,受託開発,false,Renderyライセンス費,1,840000,840000
a01RB00001VdyenYAB,INVL-0000000010,a00RB000024Ux4EYAS,a04RB00000kUAOUYA4,001RB00001VTraTYAT,a0CRB0000CcXZ6x2QG,受託開発,false,BUILDER LISTのデザイン作成・開発,1,49000,49000
a01RB00001VdyeoYAB,INVL-0000000011,a00RB000024Ux4FYAS,a04RB00000kVL7cYAG,001RB00001VTrvcYAD,a0CRB0000CcXZ6x2QG,受託開発,false,Renderyを活用した伴走支援,1,160000,160000
a01RB00001VdyepYAB,INVL-0000000012,a00RB000024Ux4GYAS,a04RB00000kVL7VYAW,001RB00001VTqgBYAT,a0CRB0000CcXZ6x2QG,受託開発,false,VISIOAL_ベーシックプラン,6,450000,75000
a01RB00001VdyeqYAB,INVL-0000000013,a00RB000024Ux4GYAS,a04RB00000kVL7VYAW,001RB00001VTqgBYAT,a0CRB0000CcXZ6x2QG,受託開発,false,既存写真との整合(敷地),5,100000,20000
a01RB00001VdyerYAB,INVL-0000000014,a00RB000024Ux4GYAS,a04RB00000kVL7VYAW,001RB00001VTqgBYAT,a0CRB0000CcXZ6x2QG,受託開発,false,詳細デザインの提案・調整,6,120000,20000
a01RB00001VdyesYAB,INVL-0000000015,a00RB000024Ux4GYAS,a04RB00000kVL7VYAW,001RB00001VTqgBYAT,a0CRB0000CcXZ6x2QG,受託開発,false,簡易図面からのボリューム作成,1,65000,65000
a01RB00001VdyetYAB,INVL-0000000016,a00RB000024Ux4GYAS,a04RB00000kVL7VYAW,001RB00001VTqgBYAT,a0CRB0000CcXZ6x2QG,受託開発,false,アートディレクション,1,100000,100000
a01RB00001VdyeuYAB,INVL-0000000017,a00RB000024Ux4GYAS,a04RB00000kVL7VYAW,001RB00001VTqgBYAT,a0CRB0000CcXZ6e2QG,Rendery セキュリティオプション(ドメイン制限)_初期費用,false,オプション_バリエーション追加,1,50000,50000
a01RB00001VdyevYAB,INVL-0000000018,a00RB000024Ux4HYAS,a04RB00000kVL7MYAW,001RB00001VcyFLYAZ,a0CRB0000CcXZ6e2QG,Rendery セキュリティオプション(ドメイン制限)_初期費用,false,講演料,1,50000,50000
