"Risk","Similarity","Work","FreeeInvoiceId","BillingDate","Account","WorkStatus","Invoice","LineWork","LineStatus","Description","Product","Amount","ResolveMessage","Confidence","LineWorkId","CreatedInvoiceLineId"
"高","0","MFIW-000020","53082772","2026-03-02","さいたま家づくりネットワーク事務局","反映済み","INV-0000000010","MFILW-000048","反映済み","講演料","Rendery セキュリティオプション(ドメイン制限)_初期費用","50000","Matched by unit price.","0.65","a0ERB00000NrwqD2AR","a01RB00001VdyevYAB"
"高","0","MFIW-000044","54113194","2026-03-20","戸田建設株式会社","反映済み","INV-0000000033","MFILW-000085","反映済み","既存写真との整合（敷地）","Rendery セキュリティオプション(SSO)_運用費用","30000","Matched by unit price.","0.65","a0ERB00000Nrx9q2AB","a01RB00001VdyfQYAR"
"高","0","MFIW-000044","54113194","2026-03-20","戸田建設株式会社","反映済み","INV-0000000033","MFILW-000088","反映済み","追加修正","Rendery セキュリティオプション(SSO)_運用費用","90000","Matched by unit price.","0.65","a0ERB00000Nrx9t2AB","a01RB00001VdyfTYAR"
"高","0","MFIW-000057","55195079","2026-03-31","神奈川県知事　黒岩　祐治","反映済み","INV-0000000167","MFILW-000110","反映済み","額装","Rendery セキュリティオプション(ドメイン制限)_初期費用","150000","Matched by unit price.","0.65","a0ERB00000NrxMU2AZ","a01RB00001ZLxrfYAD"
"高","0","MFIW-000059","55196219","2026-03-31","神奈川県知事　黒岩　祐治","要確認","","MFILW-000118","要確認","額装","Rendery セキュリティオプション(ドメイン制限)_初期費用","150000","Matched by unit price.","0.65","a0ERB00000NrxMc2AJ",""
"高","0","MFIW-000058","55195797","2026-03-31","神奈川県知事　黒岩　祐治","要確認","INV-0000000045","MFILW-000114","取得済み","額装","Rendery セキュリティオプション(ドメイン制限)_初期費用","150000","Matched by unit price.","0.65","a0ERB00000NrxMY2AZ","a01RB00001VdyfqYAB"
"高","0","MFIW-000114","58733986","2026-05-21","SFテスト","要確認","","MFILW-000185","取得済み","テスト見積明細","[OLD_年払]Rendery Enterpriseプラン(2025年9月まで)","30000","Matched by unit price.","0.65","a0ERB00000NryiL2AR",""
"高","0","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000188","反映済み","設置作業、動作確認","Rendery Enterpriseプラン","15000","Matched by unit price.","0.65","a0ERB00000Nryjz2AB","a01RB00001VeDeNYAV"
"高","0","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000187","取得済み","モニター等の機器設置作業","[OLD_年払]Rendery Enterpriseプラン(2025年9月まで)","10000","Matched by unit price.","0.65","a0ERB00000Nryjy2AB","a01RB00001VeDeMYAV"
"高","0","MFIW-000116","58940950","2026-05-22","クウジット株式会社","要確認","INV-0000000100","MFILW-000189","取得済み","モニター等の機器撤去作業","[OLD_年払]Rendery Enterpriseプラン(2025年9月まで)","10000","Matched by unit price.","0.65","a0ERB00000Nryk02AB","a01RB00001VeDeOYAV"
