ケースID,対象,前提データ,期待結果,現行確認,判定,備考
TC01,取引MRR,Accepted見積1件・継続費用のみ,継続費用の月額合計,全見積／全明細を合計,要改修,Accepted限定を確認
TC02,取引MRR,Accepted以外の見積を追加,取引MRRが変動しない,変動する,要改修,現行仕様との差分
TC03,取引MRR,初期費用商品を含む,初期費用をMRR除外,商品種別を限定しない,要改修,商品マスタ判定が必要
TC04,取引MRR,年額1,008,000円の継続費用,MRR84,000円,月額換算なしの経路あり,要改修,創建ホーム代表ケース
TC05,契約作成,同一取引先のライセンス・SSO・オプション,契約1件・明細複数行,自動作成経路により複数契約あり,要確認,契約単位ルール
TC06,月次生成,有効契約・通常名,対象月の明細を1回生成,既存キーで重複回避,確認済み,再実行性を確認
TC07,月次生成,契約名80文字超,エラーなく80文字以内で作成,バッチエラー発生,要改修,CN-00000201等
TC08,月次生成,移行用Draft契約,MRR・契約件数から除外,レポートによりDraft扱いが相違,要改修,レポート条件統一
TC09,重複防止,同一契約・月・商品・見積明細を再投入,1行のみ,一部キーで重複候補あり,要改修,一意制約／upsert検討
TC10,請求連携,契約統合前後の請求・期間・月次参照,参照先を維持,未検証,要検証,本番変更前にsandbox確認
