Id,Invoice__c,Invoice__r.Name,Invoice__r.Account__c,Invoice__r.Billing_Date__c,Invoice__r.ParentContract__c,Invoice__r.ParentContract__r.Name,Invoice__r.CancelStatus__c,ProductMaster__c,ProductMaster__r.Name,Description__c,Quantity__c,AmountWithTax__c,Line_Amount__c,LineType__c
a01RB00001cMzebYAC,a00RB00002B4i3PYAR,INV-0000000313,001RB00001VTCYEYA5,2026-06-20,a04RB00000n5JdvYAE,CN-00000213,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery Enterpriseプラン_10アカウント_月額,10,165000,150000,
a01RB00001cMzecYAC,a00RB00002B4i3PYAR,INV-0000000313,001RB00001VTCYEYA5,2026-06-20,a04RB00000n5JdvYAE,CN-00000213,通常,a0CRB0000CcXZ6b2QG,Rendery セキュリティオプション(SSO)_運用費用,セキュリティオプション（シングルサインオン）_月額,1,33000,30000,
a01RB00001cMzfDYAS,a00RB00002B4i3yYAB,INV-0000000348,001RB00001VTCYEYA5,2026-05-20,a04RB00000n5JdvYAE,CN-00000213,通常,a0CRB0000CcXZ6b2QG,Rendery セキュリティオプション(SSO)_運用費用,セキュリティオプション（シングルサインオン）_月額,1,33000,30000,
a01RB00001cMzfCYAS,a00RB00002B4i3yYAB,INV-0000000348,001RB00001VTCYEYA5,2026-05-20,a04RB00000n5JdvYAE,CN-00000213,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery Enterpriseプラン_10アカウント_月額,10,165000,150000,
a01RB00001VeDdjYAF,a00RB000024Ux5DYAS,INV-0000000068,001RB00001VTCYEYA5,2026-04-22,a04RB00000kVL7jYAG,CN-00000190,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery Enterpriseプラン_10アカウント_月額,10,165000,150000,
a01RB00001VeDdkYAF,a00RB000024Ux5DYAS,INV-0000000068,001RB00001VTCYEYA5,2026-04-22,a04RB00000kVL7jYAG,CN-00000190,通常,a0CRB0000CcXZ6h2QG,Rendery セキュリティオプション+_運用費用,セキュリティオプション+_月額,1,110000,100000,
a01RB00001VeDdlYAF,a00RB000024Ux5DYAS,INV-0000000068,001RB00001VTCYEYA5,2026-04-22,a04RB00000kVL7jYAG,CN-00000190,通常,a0CRB0000CcXZ6g2QG,Rendery セキュリティオプション+_初期費用,セキュリティオプション+_初期コスト,1,385000,350000,
a01RB00001VeDdqYAF,a00RB000024Ux5GYAS,INV-0000000071,001RB00001VTCYEYA5,2026-04-22,a04RB00000kVL7jYAG,CN-00000190,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery Enterpriseプラン_10アカウント_月額,10,165000,150000,
a01RB00001VeDdrYAF,a00RB000024Ux5GYAS,INV-0000000071,001RB00001VTCYEYA5,2026-04-22,a04RB00000kVL7jYAG,CN-00000190,通常,a0CRB0000CcXZ6a2QG,Rendery セキュリティオプション(SSO)_初期費用,Rendery(Enterprise用)・セキュリティオプション(シングルサインオン)・初期コスト,1,110000,100000,
a01RB00001VeDdsYAF,a00RB000024Ux5GYAS,INV-0000000071,001RB00001VTCYEYA5,2026-04-22,a04RB00000kVL7jYAG,CN-00000190,通常,a0CRB0000CcXZ6b2QG,Rendery セキュリティオプション(SSO)_運用費用,セキュリティオプション（シングルサインオン）_月額,1,33000,30000,
a01RB00001cMzeuYAC,a00RB00002B4i3hYAB,INV-0000000331,001RB00001VTCYEYA5,2026-04-20,a04RB00000n5JdvYAE,CN-00000213,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery Enterpriseプラン_10アカウント_月額,10,165000,150000,
a01RB00001cMzevYAC,a00RB00002B4i3hYAB,INV-0000000331,001RB00001VTCYEYA5,2026-04-20,a04RB00000n5JdvYAE,CN-00000213,通常,a0CRB0000CcXZ6b2QG,Rendery セキュリティオプション(SSO)_運用費用,セキュリティオプション（シングルサインオン）_月額,1,33000,30000,
a01RB00001VeDeLYAV,a00RB000024Ux5iYAC,INV-0000000099,001RB00001VTqgBYAT,2026-05-22,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6x2QG,受託開発,一次審査資料作成業務,1,825000,750000,
a01RB00001VeDdoYAF,a00RB000024Ux5FYAS,INV-0000000070,001RB00001VTqgBYAT,2026-04-22,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6h2QG,Rendery セキュリティオプション+_運用費用,セキュリティオプション+_運用費用(12ヶ月分),1,924000,100000,
a01RB00001VeDdpYAF,a00RB000024Ux5FYAS,INV-0000000070,001RB00001VTqgBYAT,2026-04-22,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,Rendery Enterpriseプラン_年払い,7,1293600,1176000,
a01RB00001VeDdmYAF,a00RB000024Ux5EYAS,INV-0000000069,001RB00001VTqgBYAT,2026-04-22,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6h2QG,Rendery セキュリティオプション+_運用費用,セキュリティオプション+_運用費用(12ヶ月分),1,396000,100000,
a01RB00001VeDdnYAF,a00RB000024Ux5EYAS,INV-0000000069,001RB00001VTqgBYAT,2026-04-22,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,Rendery Enterpriseプラン_年払い,3,554400,504000,
a01RB00001VdyeuYAB,a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,2026-03-19,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6e2QG,Rendery セキュリティオプション(ドメイン制限)_初期費用,オプション_バリエーション追加,1,55000,50000,
a01RB00001VdyepYAB,a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,2026-03-19,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6x2QG,受託開発,VISIOAL_ベーシックプラン,6,495000,450000,
a01RB00001VdyeqYAB,a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,2026-03-19,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6x2QG,受託開発,既存写真との整合(敷地),5,110000,100000,
a01RB00001VdyerYAB,a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,2026-03-19,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6x2QG,受託開発,詳細デザインの提案・調整,6,132000,120000,
a01RB00001VdyesYAB,a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,2026-03-19,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6x2QG,受託開発,簡易図面からのボリューム作成,1,71500,65000,
a01RB00001VdyetYAB,a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,2026-03-19,a04RB00000kVL7VYAW,CN-00000176,通常,a0CRB0000CcXZ6x2QG,受託開発,アートディレクション,1,110000,100000,
a01RB00001VdyfeYAB,a00RB000024Ux4mYAC,INV-0000000041,001RB00001VTqidYAD,2026-03-24,a04RB00000kVL7RYAW,CN-00000172,通常,a0CRB0000CcXZ6x2QG,受託開発,ワークショップ実施・技術助言書の提供(事前共有),1,275000,250000,
a01RB00001cpspZYAQ,a00RB00002BahLdYAJ,INV-0000000408,001RB00001VTruAYAT,2026-06-18,a04RB00000kUAOAYA4,CN-00000036,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery_Enterpriseプラン,18,217800,270000,
a01RB00001ZLxrjYAD,a00RB000027lnMrYAI,INV-0000000169,001RB00001VTruAYAT,2026-05-20,a04RB00000kUAOAYA4,CN-00000036,通常,a0CRB0000Ck3ReH2QU,Rendery_Enterpriseプラン,Rendery_Enterpriseプラン,5,60500,75000,
a01RB00001VeDdwYAF,a00RB000024Ux5KYAS,INV-0000000075,001RB00001VTruAYAT,2026-05-13,a04RB00000kUAOAYA4,CN-00000036,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery_Enterpriseプラン,15,181500,225000,
a01RB00001ZLxrkYAD,a00RB000027lnMsYAI,INV-0000000170,001RB00001VTruAYAT,2026-04-20,a04RB00000kUAOAYA4,CN-00000036,通常,a0CRB0000Ck3ReH2QU,Rendery_Enterpriseプラン,Rendery_Enterpriseプラン,5,60500,75000,
a01RB00001ZLxriYAD,a00RB000027lnMqYAI,INV-0000000168,001RB00001VTruAYAT,2026-03-20,a04RB00000kUAOAYA4,CN-00000036,通常,a0CRB0000Ck3ReH2QU,Rendery_Enterpriseプラン,Rendery_Enterpriseプラン,5,60500,75000,
a01RB00001cMzeWYAS,a00RB00002B4i3KYAR,INV-0000000308,001RB00001VTrvcYAD,2026-06-20,a04RB00000n5JdpYAE,CN-00000207,通常,a0CRB0000CcXZ6a2QG,Rendery セキュリティオプション(SSO)_初期費用,[月額費用]セキュリティオプション+_運用費用,1,110000,100000,
a01RB00001cMzeVYAS,a00RB00002B4i3KYAR,INV-0000000308,001RB00001VTrvcYAD,2026-06-20,a04RB00000n5JdpYAE,CN-00000207,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,[月額費用]Rendery Enterpriseプラン_13アカウント,13,214500,195000,
a01RB00001VdyeoYAB,a00RB000024Ux4FYAS,INV-0000000008,001RB00001VTrvcYAD,2026-06-09,a04RB00000kVL7cYAG,CN-00000183,通常,a0CRB0000CcXZ6x2QG,受託開発,Renderyを活用した伴走支援,1,176000,160000,
a01RB00001VeDeYYAV,a00RB000024Vf1yYAC,INV-0000000103,001RB00001VTrvcYAD,2026-05-27,a04RB00000kVL7cYAG,CN-00000183,通常,a0CRB0000CcXZ6h2QG,Rendery セキュリティオプション+_運用費用,[月額費用]セキュリティオプション+_運用費用,1,110000,100000,
a01RB00001VeDeXYAV,a00RB000024Vf1yYAC,INV-0000000103,001RB00001VTrvcYAD,2026-05-27,a04RB00000kVL7cYAG,CN-00000183,通常,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,[月額費用]Rendery Enterpriseプラン_11アカウント,13,214500,195000,
