"課題ID","優先度","課題","確認事実と影響","原因の確度","対応方針","担当案","期限","状態"
"M01","P0","MRRレポート間で定義が異なる","契約中MRRは有効契約の`Total__c`、Total MRRは商品名にRenderyを含む`Total__c`。どちらもMRR対象フラグなし。","本番定義・実集計で確定","指標ごとに対象月、金額項目、継続費用、契約状態、税・割引の扱いを確定する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M02","P0","定期月次バッチが処理エラー","9月11日01:30 JST実行で`STRING_TOO_LONG`。処理単位1件中エラー1件。状態はCompletedでも成功ではない。","ログ・80文字制限・命名コードで確定","名称生成と失敗検知を修正する。誤明細を複製しない条件を整え、検証後に再生成する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M03","P1","年額が月額として残る","創建ホームは6月1,092,000円、7・8月各1,008,000円を両レポートで計上。契約MRRは84,000円。","データ・請求で確定","年額明細の扱い、MRR用商品・月額明細を整理し、12か月へ正しく展開する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M04","P1","契約・作成経路をまたぐ重複候補","複数通常契約を持つ取引先39件。同取引先・同月・同商品が複数契約にある候補23組55明細。","候補の存在は確定、業務上の重複は未確定","契約書・請求・商品・期間・更新関係を比較し、統合対象を確定する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M05","P1","同一契約内の明細重複候補","同契約・同月・同商品71組337明細。商品IDが異なるMRR用／請求用の併存はこの検知の対象外。","候補の存在は確定","数量・費用内訳・作成元を確認。商品IDだけで重複判定せず、実際の提供サービス単位も照合する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M06","P1","商品・MRRフラグ・金額項目の不整合","商品未設定1,132明細、商品と月次明細のMRRフラグ不一致325明細、`Total__c`と`RevenueAmount__c`の相違1,043明細。","値の相違は確定、すべてが誤りとは未確定","商品・月額化・フラグを根拠付きで補正してから集計条件を切り替える。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M07","P1","取引MRRの上書きと期間単位の不一致","見積あり41取引中12取引に複数見積。野村は取引MRR2,040,000円、契約MRR198,000円、MRR対象月次170,000円。取引は月、契約は年。","本番コード・データで確定","正式見積、MRR用金額、料金期間の判定を統一。過去の見積なし取引をゼロにしない。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M08","P1","移行用DraftがTotal MRRに混入","移行用25契約・46月次明細・41請求。Total MRRへの移行用明細寄与は全対象月合計6,603,940円。","実集計で確定","本運用契約への照合後に参照を整理。MRR集計では移行用識別と対象状態を明示する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M09","P1","関連参照の不一致","月次明細と契約期間の親契約不一致1件、月次明細と関連請求の親契約不一致3件。","データで確定","統合時の付替え対象に含め、親子整合性を再検証する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M10","P1","月次明細の不足","日付・有効状態から9月対象候補140契約中119契約に9月明細なし。うちRendery72契約。","不足候補は確定、各契約の課金継続は業務確認","終了・休止・請求経路を確認し、作成すべき月を確定。過大計上修正と同時に補完する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M11","P2","MRRの正本・同期ルールが未統一","取引、契約、月次、レポートで値・基準時点が異なる。","実装・データで確定","新規受注MRR、対象月MRR、契約表示MRRを定義し、同期・履歴・例外を規定する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M12","P2","重複防止の粒度が経路ごとに異なる","通常月次処理は契約・年月・商品・見積明細、freee処理は契約期間・商品で存在確認。月次オブジェクトに一意な業務キー項目なし。","コード・本番項目定義で確定","取込IDの再取込防止と、実際の契約明細の重複防止を分けて設計する。","川波・開発担当／SAMURAI業務責任者（要確定）","未定","調査済・修正未実施"
"M13","P0","野村不動産の契約MRRと月次明細に208,000円差額","2026年8月の契約MRR合計558,000円に対し月次明細合計350,000円。レポート金額の過不足を判定できない","差額を本番データで検出。原因は未特定","契約別に月次明細・MRR対象フラグ・請求・見積を突合し、不足・対象外・重複を切り分ける","川波・契約請求担当（要確定）","未定","調査中"
"M14","P1","野村不動産の月次集計経路で金額が一致しない","本番レポート5行の合計は490,000円。MRR_Target=Trueの4行だけを合計すると350,000円。先行作業の契約別集計CSVがMRR対象行だけを集計していたため、140,000円差が発生","本番レポートと同一キー再集計で原因を特定","MRRレポートの対象条件を明示し、Total__c集計とMRR_Target絞込集計を分離。M13の契約MRRとの差は別課題として継続","川波","未定","原因特定・仕様判断待ち"
"M15","P0","野村不動産の既存契約月次明細がMRR対象外フラグ","CN-00000083（月次150,000円）とCN-00000084（月次30,000円）は2026年8月のTotal__cには計上されるがMRR_Target__c=false。契約MRR合計558,000円との差額208,000円のうち180,000円を説明する。","本番スナップショットで確定","MRR対象フラグの設定経緯と正本を確認し、承認後に補正または集計条件を変更する。","川波・業務責任者・開発担当","未定","調査済・業務判断待ち"
"M16","P0","最優先20社で契約MRRと8月MRR対象明細が不一致","野村不動産を除く19社を再集計。19社すべてで契約MRR合計と8月MRR_Target明細合計が不一致。契約MRRとの差分は、過去契約・Draft・月次不足・フラグ不整合の切り分けが必要。","本番スナップショットで確定","契約ステータス・契約期間・月次明細・請求・見積を契約単位で確認し、業務承認後に補正対象を確定する。","川波・業務責任者・開発担当","未定","調査中"
"M17","P0","最優先20社の差分上位5社で契約別内訳確認が必要","差分絶対値上位はコスモスイニシア340,000円、近鉄不動産280,000円、清水建設150,000円、石勝エクステリア130,000円、森ビル96,000円。過去契約・Draft・月次対象フラグの影響が混在する。","本番スナップショットで確定","契約別の期間・請求・見積を業務確認し、補正可否を決定する。","川波・業務責任者・開発担当","未定","調査中"
"M18","P1","差分上位5社の請求・見積と月次MRRの根拠が未統一","上位5社を契約単位で請求件数・請求金額・見積件数・見積明細件数まで展開。契約MRR、請求、月次MRRのどれを正本とするか未確定","突合証跡で確認","業務ルール確定後に補正対象とレポート条件を決定","川波・業務責任者・開発担当","未定","調査済・判断待ち"
"M19","P0","Activated重複候補26件で契約・月次・請求・期間のいずれかが欠落","Activatedの重複候補を確認し、26件で月次明細なし、請求なし、契約期間なしのいずれかを検出。統合先判断前に参照関係確認が必要","本番スナップショットで確定","契約単位で明細・請求・期間・見積を確認し、欠落が業務上の終了・未請求・データ不備のどれかを分類","川波・業務責任者・開発担当","未定","調査中"
"M20","P0","P0候補26件の請求・見積・移行元情報が未統合","P0候補26件を月次不足・未請求・移行不備・重複候補の観点で一次分類。請求ID・見積IDは契約単位で追加確認が必要","一次分類済み","Salesforce参照関係とFreee移行元を個別確認し、補正・統合対象を確定","川波・開発担当・業務責任者","未定","調査中"
"M21","P1","Salesforce CLIがローカル権限・承認上限で起動不可","AppData\Local\sf\package.jsonおよび.sfログへのアクセスでEPERM。追加の請求・見積・移行参照IDを取得できず、P0候補26件の確定分類が停止","実行ログとACL確認で確定","管理者PowerShellで権限修復後に再試行。復旧まで既存スナップショットの分類と取得依頼仕様を先行","Salesforce管理者・川波","未定","環境対応待ち"
"M21","P1","P0候補26件の確定可能性が二分化","契約・月次・商品・請求IDが揃う候補は既存証跡で確定可能性を判定し、見積明細ID・Freee移行ワークIDが必要な候補は追加取得必須として分離","既存スナップショットで確認","確定可能候補は根拠確定、追加取得必須候補はSalesforce参照復旧後に確定","川波・開発担当","未定","調査中"
