Contract,ContractName,MRR,Start,End,MonthlyRows,MonthlyDistinctMonths,Invoices
CN-00000007,東急建設 ○独特の請求書式あり,8000,2024-09-01,2027-03-31,29,29,1
CN-00000032,佐伯綜合建設(大塚商会),6400,2025-02-01,2027-01-31,24,24,0
CN-00000035,矢作建設工業株式会社,55000,2025-04-01,2026-07-30,17,14,8
CN-00000060,株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）,70000,2026-04-01,2027-03-31,12,12,0
CN-00000061,株式会社コスモスイニシア　事業本部（流通事業）,42000,2025-10-01,2027-03-31,18,18,0
CN-00000062,株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）,30000,2026-04-01,2027-03-31,12,12,0
CN-00000063,大塚商会（大和財宅）,88000,2025-09-01,2026-08-31,14,12,9
CN-00000070,大東建託株式会社　商品開発部,24000,2026-01-01,2026-12-31,13,12,1
CN-00000072,株式会社石勝エクステリア,100000,2025-10-01,2027-03-31,21,18,5
CN-00000073,株式会社フジタ（調達本部　インテリア・ソリューション統括部　インテリア部）,70000,2026-02-01,2027-03-31,15,14,1
CN-00000075,ジーク株式会社,70000,2026-02-01,2027-01-31,13,12,4
CN-00000078,日鉄興和不動産株式会社,150000,2026-02-01,2027-04-30,14,14,1
CN-00000079,株式会社石勝エクステリア(シングルサインオン分）,30000,2025-10-01,2027-03-31,18,18,0
CN-00000085,株式会社トーケン,80000,2026-03-01,2027-02-28,12,12,1
CN-00000090,株式会社サンケイビル,70000,2026-04-01,2027-03-31,12,12,0
CN-00000100,株式会社フジタ　BIM推進部,42000,2026-04-01,2027-03-31,12,12,0
CN-00000101,株式会社フジタ　設計統括部,98000,2026-04-01,2027-03-31,12,12,0
CN-00000104,若築建設株式会社,8000,2026-05-01,2027-04-30,12,12,1
CN-00000107,梅林建設株式会社,70000,2026-06-01,2027-05-31,15,12,2
CN-00000111,株式会社エリオクリエイト,8000,2026-06-01,2027-05-31,4,3,1
CN-00000112,株式会社創建ホーム,84000,2026-06-01,2027-05-31,4,3,1
CN-00000123,株式会社西武開発,93500,2024-12-01,2027-01-31,8,7,1
CN-00000191,野村不動産株式会社　商業事業本部,198000,2026-07-01,2027-06-30,6,2,1
CN-00000240,矢作建設_契約変更,,2026-08-01,2027-07-31,1,1,0
