"Id","RelatedInvoice__c","ContractName","PeriodStartDate","Total","Reason"
"a03RB00001NswjCYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-04-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjDYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-05-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjEYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-06-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjFYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-07-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjGYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-08-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjHYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-09-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjIYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-10-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjJYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-11-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjKYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2026-12-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjLYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2027-01-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjMYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2027-02-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswjNYAR","a00RB000024Ux4BYAS","株式会社サンケイビル","2027-03-01","70000","サンケイビル年額請求924,000と月額70,000x12x税率10%が一致"
"a03RB00001NswhHYAR","a00RB000024Ux4UYAS","株式会社石勝エクステリア","2026-03-01","110000","石勝3月請求154,000と本体110,000+SSO30,000+税率10%が一致"
"a03RB00001NswiOYAR","a00RB000024Ux4UYAS","株式会社石勝エクステリア(シングルサインオン分）","2026-03-01","30000","石勝3月請求154,000と本体110,000+SSO30,000+税率10%が一致"
"a03RB00001NswhzYAB","a00RB000024Ux4xYAC","株式会社アールシーコア","2026-04-01","150000","アールシーコア月額請求275,000と本体150,000+セキュリティ100,000+税率10%が一致"
"a03RB00001NswieYAB","a00RB000024Ux4xYAC","株式会社アールシーコア(セキュリティオプション月額）","2026-04-01","100000","アールシーコア月額請求275,000と本体150,000+セキュリティ100,000+税率10%が一致"
"a03RB00001Nswi0YAB","a00RB000024Ux5SYAS","株式会社アールシーコア","2026-05-01","150000","アールシーコア月額請求275,000と本体150,000+セキュリティ100,000+税率10%が一致"
"a03RB00001NswifYAB","a00RB000024Ux5SYAS","株式会社アールシーコア(セキュリティオプション月額）","2026-05-01","100000","アールシーコア月額請求275,000と本体150,000+セキュリティ100,000+税率10%が一致"
"a03RB00001NswkdYAB","a00RB000024Vf1zYAC","株式会社エリオクリエイト","2026-06-01","96000","エリオクリエイト請求105,600と月額96,000+税率10%が一致"
