Id,Name,InvoiceWork__c,InvoiceWork__r.Name,InvoiceWork__r.FreeeInvoiceId__c,InvoiceWork__r.BillingDate__c,InvoiceWork__r.PartnerName__c,Description__c,Quantity__c,UnitPrice__c,LineAmount__c,TaxAmount__c,SuggestedProductMaster__c,SuggestedProductMaster__r.Name,ConfirmedProductMaster__c,ConfirmedProductMaster__r.Name,ProductResolveStatus__c,ResolveConfidence__c,ResolveMessage__c
a0ERB00000Ojnd72AB,MFILW-000279,a0FRB00000WhTPP2A3,MFIW-000183,60861173,2026-06-20,株式会社デザインアーク,Rendery_Enterpriseプラン,15,11000,165000,16500,a0CRB0000Ck3ReH2QU,Rendery_Enterpriseプラン,a0CRB0000Ck3ReH2QU,Rendery_Enterpriseプラン,要確認,1,Exact ProductMaster.Name match.
a0ERB00000OjnJh2AJ,MFILW-000252,a0FRB00000Wi6a42AB,MFIW-000157,61466312,2026-06-26,株式会社コスモスイニシア,プロポーザルに関するディレクション業務（着手金）,1,400000,400000,40000,,,,,要確認,,No ProductMaster candidate found.
a0ERB00000Ok1gD2AR,MFILW-000447,a0FRB00000WjFOq2AN,MFIW-000342,56685582,2026-04-20,近鉄不動産株式会社,[月額費用]Rendery Enterpriseプラン_11アカウント,11,15000,165000,16500,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,,,候補あり,0.75,Matched by unit price and product name.
a0ERB00000Ok1gE2AR,MFILW-000448,a0FRB00000WjFOq2AN,MFIW-000342,56685582,2026-04-20,近鉄不動産株式会社,[月額費用]セキュリティオプション+_運用費用,1,100000,100000,10000,a0CRB0000CcXZ6a2QG,Rendery セキュリティオプション(SSO)_初期費用,,,要確認,0.65,No ProductMaster candidate found.
a0ERB00000Ok1gF2AR,MFILW-000449,a0FRB00000WjFOq2AN,MFIW-000342,56685582,2026-04-20,近鉄不動産株式会社,[初月のみ]セキュリティオプション+_初期コスト,1,350000,350000,35000,a0CRB0000CcXZ6g2QG,Rendery セキュリティオプション+_初期費用,,,要確認,0.65,No ProductMaster candidate found.
a0ERB00000Ok1gJ2AR,MFILW-000453,a0FRB00000WjFOu2AN,MFIW-000346,56693657,2026-04-20,株式会社フジタ,Rendery Enterpriseプラン5アカウント_年払い,5,180000,900000,90000,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,確定済み,,年払い明細のため、請求タイミングが「年一括」の商品マスタへ確定しました。
a0ERB00000Ok1gK2AR,MFILW-000454,a0FRB00000WjFOu2AN,MFIW-000346,56693657,2026-04-20,株式会社フジタ,年払い割引,5,-12000,-60000,-6000,a0CRB0000CcXZ6x2QG,受託開発,a0CRB0000CcXZ6x2QG,受託開発,確定済み,0.99,過去に確定した同一の明細名・単価・数量・金額から商品を自動確定しました。
a0ERB00000Ok1gN2AR,MFILW-000457,a0FRB00000WjFOx2AN,MFIW-000349,56697026,2026-04-20,株式会社フジタ,Rendery Enterpriseプラン_7アカウント_年払い,7,180000,1260000,126000,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,確定済み,,年払い明細のため、請求タイミングが「年一括」の商品マスタへ確定しました。
a0ERB00000Ok1gO2AR,MFILW-000458,a0FRB00000WjFOx2AN,MFIW-000349,56697026,2026-04-20,株式会社フジタ,年払い割引,7,-12000,-84000,-8400,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,確定済み,0.98,同じ請求内の主商品が一意に確定しているため、割引・調整行を同じ商品へ自動紐づけしました。
a0ERB00000Ok1gP2AR,MFILW-000459,a0FRB00000WjFOy2AN,MFIW-000350,56698344,2026-04-20,株式会社フジタ,Rendery Enterpriseプラン_3アカウント_年払い,3,180000,540000,54000,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,確定済み,,年払い明細のため、請求タイミングが「年一括」の商品マスタへ確定しました。
