Id,Name,Invoice__c,ProductMaster__c,Description__c,Quantity__c,Unit_Price__c
a01RB00001Uvs57YAB,INVL-0000000003,a00RB000023liu7YAA,a0CRB0000CcXZ6Q2QW,RenderyProプラン×３契約,3,8000
a01RB00001VdyehYAB,INVL-0000000004,a00RB000024Ux4BYAS,a0CRB0000CcXZ6Z2QW,Rendery Enterpriseプラン_5アカウント_年間費用,5,168000
a01RB00001VdyeiYAB,INVL-0000000005,a00RB000024Ux4BYAS,a0CRB0000CcXZ6x2QG,年払い割引,5,-12000
a01RB00001VdyejYAB,INVL-0000000006,a00RB000024Ux4CYAS,a0CRB0000CcXZ6x2QG,Web保守・運用費,1,216000
a01RB00001VdyekYAB,INVL-0000000007,a00RB000024Ux4DYAS,a0CRB0000CcXZ6x2QG,保守・運用費,1,1200000
a01RB00001VdyelYAB,INVL-0000000008,a00RB000024Ux4DYAS,a0CRB0000CcXZ6x2QG,運用サポート費,1,840000
a01RB00001VdyemYAB,INVL-0000000009,a00RB000024Ux4DYAS,a0CRB0000CcXZ6x2QG,Renderyライセンス費,1,840000
a01RB00001VdyenYAB,INVL-0000000010,a00RB000024Ux4EYAS,a0CRB0000CcXZ6x2QG,BUILDER LISTのデザイン作成・開発,1,49000
a01RB00001VdyeoYAB,INVL-0000000011,a00RB000024Ux4FYAS,a0CRB0000CcXZ6x2QG,Renderyを活用した伴走支援,1,160000
a01RB00001VdyepYAB,INVL-0000000012,a00RB000024Ux4GYAS,a0CRB0000CcXZ6x2QG,VISIOAL_ベーシックプラン,6,75000
a01RB00001VdyeqYAB,INVL-0000000013,a00RB000024Ux4GYAS,a0CRB0000CcXZ6x2QG,既存写真との整合(敷地),5,20000
a01RB00001VdyerYAB,INVL-0000000014,a00RB000024Ux4GYAS,a0CRB0000CcXZ6x2QG,詳細デザインの提案・調整,6,20000
a01RB00001VdyesYAB,INVL-0000000015,a00RB000024Ux4GYAS,a0CRB0000CcXZ6x2QG,簡易図面からのボリューム作成,1,65000
a01RB00001VdyetYAB,INVL-0000000016,a00RB000024Ux4GYAS,a0CRB0000CcXZ6x2QG,アートディレクション,1,100000
a01RB00001VdyeuYAB,INVL-0000000017,a00RB000024Ux4GYAS,a0CRB0000CcXZ6e2QG,オプション_バリエーション追加,1,50000
a01RB00001VdyevYAB,INVL-0000000018,a00RB000024Ux4HYAS,a0CRB0000CcXZ6e2QG,講演料,1,50000
a01RB00001VdyewYAB,INVL-0000000019,a00RB000024Ux4HYAS,a0CRB0000CcXZ6x2QG,交通費（片道）,2,970
a01RB00001VdyexYAB,INVL-0000000020,a00RB000024Ux4IYAS,a0CRB0000CcXZ6x2QG,最終納品費,1,1670000
a01RB00001VdyeyYAB,INVL-0000000021,a00RB000024Ux4JYAS,a0CRB0000CcXZ6x2QG,【要件定義】 ヒアリング・仕様整理,1,1300000
a01RB00001VdyezYAB,INVL-0000000022,a00RB000024Ux4JYAS,a0CRB0000CcXZ6x2QG,【基本設計】UI設計・構成設計,2,1300000
a01RB00001Vdyf0YAB,INVL-0000000023,a00RB000024Ux4JYAS,a0CRB0000CcXZ6x2QG,【詳細設計】 モジュール間IF仕様設計,1,1300000
a01RB00001Vdyf1YAB,INVL-0000000024,a00RB000024Ux4JYAS,a0CRB0000CcXZ6x2QG,【実装】 インフラ構築/フロントエンド/バックエンド開発,4,1300000
a01RB00001Vdyf2YAB,INVL-0000000025,a00RB000024Ux4JYAS,a0CRB0000CcXZ6x2QG,【テスト・導入】 動作検証、導入支援,1,1300000
a01RB00001Vdyf3YAB,INVL-0000000026,a00RB000024Ux4KYAS,a0CRB0000CcXZ6Q2QW,Rendery(エンタープライズ用),8,8000
a01RB00001Vdyf4YAB,INVL-0000000027,a00RB000024Ux4LYAS,a0CRB0000CcXZ6T2QW,Rendery　エンタープライズプラン,42,11000
