"ContractId","ContractName","UpdateType","TemplateId","TemplateMonth","ProductMaster__c","ProductName","RevenueAmount__c","Total__c","MRR_Target__c","ARR_Target__c","QuotationLine__c"
"a04RB00000kUAPNYA4","株式会社エリオクリエイト","年","a03RB00001RcACNYA3","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","96000","96000","true","true",
"a04RB00000kUAPOYA4","株式会社創建ホーム","年","a03RB00001RcACOYA3","2026/07","a0CRB0000CcXZ6Z2QW","[年払] Rendery Enterpriseプラン","1008000","1008000","false","true",
"a04RB00000kUAPiYAO","株式会社Housebank千葉","月","a03RB00001Uj0sNYAR","2026/07","a0CRB0000CcXZ6j2QG","knock knock AI Proプラン(300クレジット)","55000","55000","true","true",
"a04RB00000lZ54zYAC","野村不動産株式会社　商業事業本部","年","a03RB00001RcAfpYAF","2026/07","a0CRB0000CcXZ6X2QW","[年払] Rendery Enterpriseプラン　※MRR計上用","140000","140000","true","true",
"a04RB00000lZ54zYAC","野村不動産株式会社　商業事業本部","年","a03RB00001RcAfqYAF","2026/07","a0CRB0000CcXZ6b2QG","Rendery セキュリティオプション(SSO)_運用費用","30000","30000","true","true",
"a04RB00000lZ54zYAC","野村不動産株式会社　商業事業本部","年","a03RB00001VUaobYAD","2026/07","a0CRB0000CcXZ6Z2QW","[年払] Rendery Enterpriseプラン","140000","140000","false","true",
"a04RB00000miHmIYAU","コンチネンタルホーム株式会社_2026-07-01","月","a03RB00001TWvoMYAT","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","40000","40000","true","true",
"a04RB00000n5JdiYAE","アイリスオーヤマ株式会社(空間デザイン部) [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001UyZX3YAN","2026/07","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","11000","true","true",
"a04RB00000n5JdjYAE","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001UyZX4YAN","2026/07","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","44000","44000","true","true",
"a04RB00000n5JdkYAE","九州旅客鉄道株式会社(博多設備区) Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZX5YAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
"a04RB00000n5JdlYAE","九州旅客鉄道株式会社(建設工事部施設課) Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZX7YAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
"a04RB00000n5JdmYAE","東急リゾーツ＆ステイ株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001UyZX8YAN","2026/07","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","44000","44000","true","true",
"a04RB00000n5JdnYAE","九州旅客鉄道株式会社(開発工事部) Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZX9YAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
"a04RB00000n5JdoYAE","株式会社ＬＩＸＩＬ住宅研究所 Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZXAYA3","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
"a04RB00000n5JdpYAE","近鉄不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","月","a03RB00001UyZVzYAN","2026/06","a0CRB0000CcXZ6a2QG","Rendery セキュリティオプション(SSO)_初期費用","100000","100000","false","true",
"a04RB00000n5JdpYAE","近鉄不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","月","a03RB00001UyZW0YAN","2026/06","a0CRB0000CcXZ6V2QW","Rendery Enterpriseプラン","195000","195000","true","true",
"a04RB00000n5JdqYAE","株式会社ハートランド knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","a03RB00001UyZW1YAN","2026/06","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","11000","11000","true","true",
"a04RB00000n5JdrYAE","西和不動産株式会社 栗東店 knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","a03RB00001UyZW2YAN","2026/06","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","11000","11000","true","true",
"a04RB00000n5JdsYAE","株式会社ヨコハマ地所 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001UyZW3YAN","2026/06","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000","11000","true","true",
"a04RB00000n5JdsYAE","株式会社ヨコハマ地所 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","a03RB00001VH5KSYA1","2026/06","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","11000","11000","true","true",
"a04RB00000n5JdtYAE","株式会社JR東日本建築設計 Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZX2YAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
"a04RB00000n5JduYAE","三菱地所株式会社(DX推進部) Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZX1YAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","16000","16000","true","true",
"a04RB00000n5JdvYAE","野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","月","a03RB00001UyZW6YAN","2026/06","a0CRB0000CcXZ6b2QG","Rendery セキュリティオプション(SSO)_運用費用","30000","30000","true","true",
"a04RB00000n5JdvYAE","野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","月","a03RB00001UyZW7YAN","2026/06","a0CRB0000CcXZ6V2QW","Rendery Enterpriseプラン","150000","150000","true","true",
"a04RB00000n5JdwYAE","株式会社デザインアーク（東京スペースソリューション第１営業所） Rendery Enterpriseプラン Freee自動請求契約","月","a03RB00001UyZWyYAN","2026/07","a0CRB0000CcXZ6V2QW","Rendery Enterpriseプラン","30000","30000","true","true",
"a04RB00000n5JdxYAE","合同会社小島屋 Rendery Proプラン Freee自動請求契約","月","a03RB00001UyZWzYAN","2026/07","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","true","true",
"a04RB00000n5JdyYAE","株式会社コスモスイニシア（流通事業部） Rendery Enterpriseプラン Freee自動請求契約","月","a03RB00001UyZWAYA3","2026/06","a0CRB0000CcXZ6V2QW","Rendery Enterpriseプラン","150000","150000","true","true",
"a04RB00000n5JdzYAE","柏井建設株式会社 Rendery Enterpriseプラン Freee自動請求契約","月","a03RB00001UyZWxYAN","2026/07","a0CRB0000CcXZ6V2QW","Rendery Enterpriseプラン","75000","75000","true","true",
