"AccountId","AccountName","Contract","ContractName","Status","Start","End","MRR","Source","MonthlyRows","Invoices","Periods","判定","判定根拠","統合先契約","請求影響","優先度"
"001RB00001VTCZGYA5","ノムラメディアス","CN-00000005","株式会社 ノムラメディアス","解約","2024-08-01","2025-02-01","104000","","7","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTCZGYA5","ノムラメディアス","CN-00000029","株式会社 ノムラメディアス","解約","2025-03-01","2026-02-01","55000","","12","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqlOYAT","株式会社ムゲンエステート","CN-00000012","ムゲンエステート","Activated","2024-10-01","","8000","","41","6","3","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqlOYAT","株式会社ムゲンエステート","CN-00000115","ムゲンエステート","解約","2024-10-01","2026-02-01","11000","","0","0","0","要確認","月次明細がなく請求・契約期間との突合が必要","","未確認","中"
"001RB00001VTrmnYAD","戸田建設株式会社","CN-00000015","戸田建設(開発推進部:年額)","解約","2024-11-01","2026-01-01","22000","","15","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTrmnYAD","戸田建設株式会社","CN-00000026","戸田建設(設計部:月額)","Activated","2025-02-01","","55000","","29","7","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTCYwYAP","インフィニティ株式会社","CN-00000017","インフィニティ株式会社","解約","2024-11-01","2026-05-01","8000","","19","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTCYwYAP","インフィニティ株式会社","CN-00000220","インフィニティ株式会社 Rendery Proプラン Freee自動請求契約","Activated","2026-03-01","","8000","FreeeImport","4","3","4","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTrOlYAL","九州旅客鉄道 株式会社","CN-00000023","九州旅客鉄道株式会社　工事部施設課","Activated","2024-12-01","","8000","","21","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTrOlYAL","九州旅客鉄道 株式会社","CN-00000044","九州旅客鉄道株式会社　博多設備区","Activated","2025-05-01","","8000","","16","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTrOlYAL","九州旅客鉄道 株式会社","CN-00000049","九州旅客鉄道株式会社　開発工事部","Activated","2025-06-01","","8000","","15","0","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqjbYAD","株式会社オリバー","CN-00000024","株式会社オリバー","解約","2025-01-01","2025-07-01","21000","","7","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqjbYAD","株式会社オリバー","CN-00000229","『提案DX2.0』データ整形業務【着手金】","更新予定","2026-06-29","","","Sales","1","2","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","CN-00000025","アイリスチトセ株式会社","解約","2025-04-01","2025-05-01","16000","","2","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","CN-00000045","アイリスチトセ株式会社","解約","2025-06-01","2026-05-01","77000","","12","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","CN-00000164","Mig_freee請求移行_アイリスチトセ株式会社","Draft","2026-05-01","2026-05-31","","","1","1","1","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","CN-00000222","アイリスチトセ株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","Activated","2026-03-01","","77000","FreeeImport","3","2","3","対象外候補","Freee移行由来または移行Draftのため業務ルール確認が必要","","未確認","高"
"001RB00001VTtIPYA1","株式会社URリンケージ","CN-00000030","株式会社URリンケージ(月額払い)","解約","2025-03-01","2025-04-01","8000","","2","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTtIPYA1","株式会社URリンケージ","CN-00000031","株式会社URリンケージ(年額払い)","解約","2025-03-01","2026-02-01","8000","","12","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTCZZYA5","株式会社乃村工藝社","CN-00000034","株式会社乃村工藝社","解約","2025-01-01","2025-04-01","16000","","4","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
"001RB00001VTCZZYA5","株式会社乃村工藝社","CN-00000106","株式会社乃村工藝社  カルチャー・コミュニケーション推進本部","Activated","2026-05-01","","32000","","5","2","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqlfYAD","矢作建設工業株式会社","CN-00000035","矢作建設工業株式会社","Activated","2025-04-01","2026-07-30","55000","","17","8","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqlfYAD","矢作建設工業株式会社","CN-00000240","矢作建設_契約変更","Activated","2026-08-01","2027-07-31","","Sales","1","0","1","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTruAYAT","株式会社デザインアーク","CN-00000036","株式会社デザインアーク","Activated","2025-05-01","","165000","","21","17","4","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTruAYAT","株式会社デザインアーク","CN-00000108","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","Activated","2026-06-01","","30000","","4","1","2","統合候補","有効契約で同一取引先に複数契約。商品・期間・請求の確認後に統合可否判断","","未確認","高"
"001RB00001VTqleYAD","株式会社大塚商会","CN-00000037","大塚商会(株式会社長谷建築設計事務所様)","解約","2025-04-01","2026-04-01","6400","","3","0","1","履歴候補","解約・終了等の履歴契約。現行MRRからの影響を別途確認","","未確認","低"
