Id,Name,Invoice__c,Invoice__r.Name,ProductMaster__c,ProductMaster__r.Name,Description__c,Quantity__c,AmountWithTax__c,Line_Amount__c,LineType__c
a01RB00001Uvs57YAB,INVL-0000000003,a00RB000023liu7YAA,INV-0000000003,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,RenderyProプラン×３契約,3,26400,24000,継続費用
a01RB00001VdyehYAB,INVL-0000000004,a00RB000024Ux4BYAS,INV-0000000004,a0CRB0000CcXZ6Z2QW,[年払] Rendery Enterpriseプラン,Rendery Enterpriseプラン_5アカウント_年間費用,5,990000,840000,
a01RB00001VdyeiYAB,INVL-0000000005,a00RB000024Ux4BYAS,INV-0000000004,a0CRB0000CcXZ6x2QG,受託開発,年払い割引,5,-66000,-60000,
a01RB00001VdyfDYAR,INVL-0000000036,a00RB000024Ux4UYAS,INV-0000000023,a0CRB0000CcXZ6T2QW,[OLD] Rendery Enterpriseプラン(2025年9月まで),Rendery Enterpriseプラン_3月ご利用分,10,121000,110000,
a01RB00001VdyfEYAR,INVL-0000000037,a00RB000024Ux4UYAS,INV-0000000023,a0CRB0000CcXZ6b2QG,Rendery セキュリティオプション(SSO)_運用費用,セキュリティオプション_シングルサインオン_3月ご利用分,1,33000,30000,
a01RB00001Vdyg2YAB,INVL-0000000087,a00RB000024Ux4xYAC,INV-0000000052,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery Enterpriseプラン10アカウント_月額,10,165000,150000,
a01RB00001Vdyg3YAB,INVL-0000000088,a00RB000024Ux4xYAC,INV-0000000052,a0CRB0000CcXZ6h2QG,Rendery セキュリティオプション+_運用費用,セキュリティオプション+_運用費用_月額,1,110000,100000,
a01RB00001VeDe4YAF,INVL-0000000125,a00RB000024Ux5SYAS,INV-0000000083,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,Rendery Enterpriseプラン10アカウント_月額,10,165000,150000,
a01RB00001VeDe5YAF,INVL-0000000126,a00RB000024Ux5SYAS,INV-0000000083,a0CRB0000CcXZ6h2QG,Rendery セキュリティオプション+_運用費用,セキュリティオプション+_運用費用_月額,1,110000,100000,
a01RB00001b5DurYAE,INVL-0000000244,a00RB000029duDrYAI,INV-0000000177,a0CRB0000Ck3ReH2QU,Rendery_Enterpriseプラン,Rendery enterpriseプラン,5,82500,75000,継続費用
