Id,Name,ProductType__c,BillingTiming__c,UnitPrice__c,Unit__c,MRR_Target__c,ARR_Target__c,AnnualMonthlyPrice__c,AnnualMonthlyProduct__c,AnnualBulkBillingProduct__c,InvoiceLineDisplayType__c,Freee_Item_Id__c
a0CRB0000CcXZ6p2QG,[月払] knock knock AI Enterpriseプラン 1000クレジット,継続費用,毎月,145000,,true,true,,,,,
a0CRB0000DaCRfV2QW,[月払] knock knock AI Enterpriseプラン 1100クレジット,継続費用,毎月,159500,,true,true,,,,,
a0CRB0000CcXZ6k2QG,[月払] knock knock AI Enterpriseプラン 500クレジット,継続費用,毎月,85000,,true,true,,,,,
a0CRB0000CcXZ6l2QG,[月払] knock knock AI Enterpriseプラン 600クレジット,継続費用,毎月,99000,,true,true,,,,,
a0CRB0000CcXZ6m2QG,[月払] knock knock AI Enterpriseプラン 700クレジット,継続費用,毎月,112000,,true,true,,,,,
a0CRB0000CcXZ6n2QG,[月払] knock knock AI Enterpriseプラン 800クレジット,継続費用,毎月,124000,,true,true,,,,,
a0CRB0000CcXZ6o2QG,[月払] knock knock AI Enterpriseプラン 900クレジット,継続費用,毎月,135000,,true,true,,,,,
a0CRB0000CcXZ6v2QG,[年払] knock knock AI Enterpriseプラン 1000クレジット,継続費用,年一括,130500,,true,true,,,,,
a0CRB0000CcXZ6q2QG,[年払] knock knock AI Enterpriseプラン 500クレジット,継続費用,年一括,76500,,true,true,,,,,
a0CRB0000CcXZ6r2QG,[年払] knock knock AI Enterpriseプラン 600クレジット,継続費用,年一括,89100,,true,true,,,,,
a0CRB0000CcXZ6s2QG,[年払] knock knock AI Enterpriseプラン 700クレジット,継続費用,年一括,100800,,true,true,,,,,
a0CRB0000CcXZ6t2QG,[年払] knock knock AI Enterpriseプラン 800クレジット,継続費用,年一括,111600,,true,true,,,,,
a0CRB0000CcXZ6u2QG,[年払] knock knock AI Enterpriseプラン 900クレジット,継続費用,年一括,121500,,true,true,,,,,
